% Model,Prototipo-1_1-Bobinas-eq-0A-2A.mph
% Version,COMSOL 4.4.0.150
% Date,"Aug 22 2014, 21:20"
% Table,Table 1 - Global Evaluation 1 (mf.Forcex_0)
% dx,imax,"Electromagnetic force, x component (N)"
0,0,0
0,0.25,3.6466971577714182
0,0.5,14.83669580576364
0,0.75,32.692685640310444
0,1,54.40975627637343
0.1,0,0
0.1,0.25,2.828480015842806
0.1,0.5,11.551834935192456
0.1,0.75,25.70133271351406
0.1,1,43.78354993758867
0.2,0,0
0.2,0.25,2.2545404257810833
0.2,0.5,9.228821557681826
0.2,0.75,20.66338883597127
0.2,1,35.813116786221535
0.30000000000000004,0,0
0.30000000000000004,0.25,1.8473381989658366
0.30000000000000004,0.5,7.571559798624359
0.30000000000000004,0.75,17.02838732401524
0.30000000000000004,1,29.83553597380112
