% Model,Passivo:dz.mph
% Version,COMSOL 4.4.0.150
% Date,"Mar 4 2014, 19:39"
% Table,Table 12 - Global Evaluation 1 (mf.Forcex_0)
% dy,"Electromagnetic force, x component (N)"
0,-126.48843519906158
0.1,-126.3097194018729
0.2,-126.99464546221066
0.30000000000000004,-127.8850274680744
0.4,-126.16597219594453
0.5,-125.79038928893917
0.6000000000000001,-124.14967071380048
0.7000000000000001,-124.494483654636
0.8,-123.00684850184328
0.9,-122.63835776819461
1,-120.88793914678934
1.1,-119.90523261527693
1.2000000000000002,-118.51900399804367
